InfluenzaSeasonandEpidemiologicalWeek,TotalFluTests,PositiveFluAH1N1pdm09,PositiveFluAH3,PositiveFluAunsubtyped,TotalFluBPositive,TotalRSVTests,TotalPositiveRSV,TotalParaTests,TotalPositivePara,TotalAdenoTests,TotalPositiveAdeno,TotalhMPVTests,TotalPositivehMPV,TotalEnteroRhinoTests,TotalPositiveEnteroRhino,TotalCoronaTests,TotalPositiveCorona,season,TotalFluPositive,year,week,date
201715,5148.0,5.0,73.0,216.0,321.0,4831.0,258.0,2819.0,148.0,2826.0,74.0,2740.0,196.0,2191.0,315.0,2553.0,141.0,2016-2017,615.0,2017,15,2017-04-10
201716,5000.0,9.0,59.0,167.0,347.0,4678.0,206.0,2802.0,189.0,2800.0,90.0,2697.0,193.0,2254.0,363.0,2547.0,127.0,2016-2017,582.0,2017,16,2017-04-17
201717,4807.0,2.0,39.0,112.0,316.0,4521.0,176.0,2923.0,226.0,2878.0,73.0,2722.0,179.0,2296.0,420.0,2596.0,90.0,2016-2017,469.0,2017,17,2017-04-24
201718,4161.0,5.0,49.0,62.0,283.0,4012.0,114.0,2712.0,171.0,2700.0,78.0,2529.0,161.0,2176.0,398.0,2429.0,73.0,2016-2017,399.0,2017,18,2017-05-01
201719,3891.0,0.0,30.0,36.0,259.0,3681.0,90.0,2433.0,142.0,2434.0,64.0,2321.0,119.0,1912.0,415.0,2164.0,40.0,2016-2017,325.0,2017,19,2017-05-08
201720,3870.0,2.0,26.0,13.0,228.0,3683.0,78.0,2472.0,174.0,2475.0,83.0,2322.0,155.0,1982.0,486.0,2192.0,55.0,2016-2017,269.0,2017,20,2017-05-15
201721,3220.0,0.0,12.0,13.0,168.0,3102.0,38.0,2305.0,150.0,2309.0,81.0,2202.0,115.0,1856.0,480.0,2111.0,50.0,2016-2017,193.0,2017,21,2017-05-22
201722,2989.0,7.0,14.0,9.0,94.0,2893.0,25.0,2190.0,131.0,2171.0,75.0,2078.0,112.0,1751.0,416.0,1972.0,35.0,2016-2017,124.0,2017,22,2017-05-29
201723,2696.0,1.0,8.0,13.0,75.0,2581.0,20.0,2002.0,103.0,2001.0,51.0,1892.0,85.0,1593.0,359.0,1779.0,17.0,2016-2017,97.0,2017,23,2017-06-05
201724,2556.0,1.0,4.0,4.0,48.0,2501.0,24.0,1874.0,108.0,1880.0,70.0,1789.0,61.0,1424.0,381.0,1679.0,21.0,2016-2017,57.0,2017,24,2017-06-12
201725,2150.0,1.0,3.0,7.0,29.0,2122.0,9.0,1659.0,72.0,1662.0,46.0,1560.0,41.0,1107.0,264.0,1354.0,12.0,2016-2017,40.0,2017,25,2017-06-19
201726,1939.0,1.0,3.0,9.0,21.0,1920.0,7.0,1521.0,86.0,1525.0,37.0,1424.0,38.0,932.0,237.0,1097.0,4.0,2016-2017,34.0,2017,26,2017-06-26
201727,2016.0,4.0,23.0,9.0,21.0,1980.0,6.0,1536.0,58.0,1544.0,46.0,1446.0,34.0,910.0,267.0,1184.0,5.0,2016-2017,57.0,2017,27,2017-07-03
201728,2043.0,0.0,8.0,5.0,12.0,2013.0,7.0,1648.0,69.0,1646.0,43.0,1563.0,18.0,994.0,252.0,1255.0,7.0,2016-2017,25.0,2017,28,2017-07-10
201729,1813.0,3.0,16.0,6.0,2.0,1806.0,2.0,1463.0,55.0,1465.0,44.0,1378.0,15.0,902.0,203.0,1209.0,2.0,2016-2017,27.0,2017,29,2017-07-17
201730,1710.0,2.0,13.0,7.0,3.0,1683.0,5.0,1346.0,59.0,1348.0,36.0,1270.0,15.0,824.0,173.0,1054.0,4.0,2016-2017,25.0,2017,30,2017-07-24
201731,1655.0,3.0,16.0,7.0,6.0,1644.0,6.0,1328.0,43.0,1332.0,31.0,1257.0,17.0,786.0,157.0,1075.0,6.0,2016-2017,32.0,2017,31,2017-07-31
201732,1615.0,1.0,9.0,5.0,4.0,1591.0,6.0,1354.0,36.0,1354.0,24.0,1302.0,7.0,844.0,220.0,1146.0,10.0,2016-2017,19.0,2017,32,2017-08-07
201733,1659.0,0.0,9.0,16.0,3.0,1639.0,10.0,1385.0,40.0,1381.0,32.0,1286.0,9.0,876.0,193.0,1136.0,4.0,2016-2017,28.0,2017,33,2017-08-14
201734,1680.0,0.0,7.0,10.0,1.0,1668.0,7.0,1356.0,49.0,1370.0,20.0,1323.0,14.0,863.0,185.0,1095.0,3.0,2016-2017,18.0,2017,34,2017-08-21
